Organisation,Duty Station,Level,Post Title,Closing Date,Posting Retrieved,Descriptions
MONUSCO,KINSHASA,P-3,"COORDINATION OFFICER, POLITICAL AFFAIRS  - Political, Peace and Humanitarian, Political Affairs",2023-02-27,2023-02-14,https://unjoblist.org/r/?451821
UNDP,"Addis Ababa,  ETHIOPIA",SB-4,"Monitoring, Evaluation and Reporting Officer",2023-02-27,2023-02-16,https://unjoblist.org/r/?451937
UN CTC,DOHA,P-4,"PROGRAMME MANAGEMENT OFFICER  [Temporary] - Economic, Social and Development, Programme Management",2023-02-27,2023-02-16,https://unjoblist.org/r/?451955
UN DESA,NEW YORK,P-4,"Economic Affairs Officer  [Temporary] - Economic, Social and Development, Economic Affairs (and Sustainable Development)",2023-02-27,2023-02-16,https://unjoblist.org/r/?451982
UNMISS,Wau,P-4,"CIVIL AFFAIRS OFFICER  - Political, Peace and Humanitarian, Civil Affairs",2023-02-28,2023-01-31,https://unjoblist.org/r/?451104
WHO,Congo-Brazzaville,P2,Procurement Officer,2023-02-28,2023-02-07,https://unjoblist.org/r/?451445
WHO,Switzerland-Geneva,P3,Technical Officer (Emerging Diseases &amp; Zoonoses),2023-02-28,2023-02-07,https://unjoblist.org/r/?451448
WHO,Switzerland-Geneva,P4,Scientist (Implementation Research),2023-02-28,2023-02-07,https://unjoblist.org/r/?451449
WHO,Congo-Brazzaville,P2,"Technical Officer, External Relations/Governing Bodies",2023-02-28,2023-02-07,https://unjoblist.org/r/?451450
WHO,Syrian Arab Republic-Damascus,NO-B,Finance Officer,2023-02-28,2023-02-08,https://unjoblist.org/r/?451502
